Metric,Logistic Regression,Linear SVM
Micro Precision,0.7108886107634543,0.6485148514851485
Micro Recall,0.2672102869687941,0.369766347812451
Micro F1,0.3884203328014589,0.47098771596924
Macro F1,0.2069585642229949,0.33317305794447066
Hamming Loss,0.035371512946263776,0.034916679850234666
